Order_ID,Client_ID,Staff_ID,Menu_Ordered,Total_Due,Amount_Paid,Tab_Balance,Payment_Method,Purchase_Date
OR00001,C1,S2,M3+M5,10.5,10.5,0,Cash,15/07/16
OR00002,C2,S2,M3+M5,10.5,10.5,0,Cash,15/07/16
OR00003,C3,S2,M3+M5,10.5,10.5,0,Cash,15/07/16
OR00004,C4,S2,M3+M5,10.5,10.5,0,Cash,15/07/16
OR00005,C5,S2,M3+M5,10.5,10.5,0,Cash,15/07/16
OR00006,C5,S2,M3+M5,10.5,10.5,0,Cash,15/07/16
OR00007,C5,S2,M3+M5,10.5,10.5,0,Cash,15/07/16
OR00008,C5,S2,M3+M5,10.5,10.5,0,Cash,15/07/16
OR00009,C5,S2,M3+M5,10.5,10.5,0,Cash,15/07/16
OR00010,C7,S2,M3+M5,10.5,10.5,0,Cash,15/07/16
OR00011,C7,S2,M3+M5,10.5,10.5,0,Cash,15/07/16
OR00012,C7,S2,M3+M5,10.5,10.5,0,Cash,15/07/16
OR00013,C7,S2,M3+M5,10.5,10.5,0,Cash,15/07/16
OR00014,C7,S2,M3+M5,10.5,10.5,0,Cash,15/07/16
OR00015,C1,S2,M3+M5,10.5,10.5,0,Cash,15/07/16
OR00016,C1,S2,M3+M5,10.5,10.5,0,Cash,15/07/16
OR00017,C2,S2,M3+M5,10.5,10.5,0,Cash,15/07/16
OR00018,C3,S2,M3+M5,10.5,10.5,0,Cash,15/07/16
OR00019,C4,S2,M3+M5,10.5,10.5,0,Cash,15/07/16
