Today_Date,MenuItem_ID,MenuItem_Name,MenuItem_Price,MenuItem_QuantityMade,MenuItem_QuantityLeft,
15/07/16,M1,Muffin ,3.8,20,20,
15/07/16,M2,Donut,3.5,20,20,
15/07/16,M3,Ham Sandwich,5.5,20,20,
15/07/16,M4,Salami Sandwich,5.5,20,20,
15/07/16,M5,Quiche,4.5,20,20,
15/07/16,M6,Croissant,4,20,20,
15/07/16,M7,Roll,4,20,20,
15/07/16,M8,Toasty,4,20,20,
15/07/16,M9,Pie,4,20,20,
15/07/16,M10,Ice tea,4,20,20,
15/07/16,M11,Red Bull,3.5,20,20,
15/07/16,M12,Coke,2,20,20,
15/07/16,M13,Sushi,5.5,20,20,
15/07/16,M14,Chicken Curry,7.5,20,20,
15/07/16,M15,Lemongrass Chicken,7.5,20,20,
15/07/16,M16,Lamb Pasta,7.5,20,20,
15/07/16,M17,Chicken Pot Pie,7.5,20,20,
15/07/16,M18,Spring Roll,7.5,20,20,
15/07/16,M19,Dumplings,7.5,20,20,
15/07/16,M20,Kebab,7.5,20,20,
